,proposition
205,"Nous créerons dans le cadre du plan d’investissement une prime exceptionnelle de 1000 euros pour permettre à tous ceux dont les véhicules ont été fabriqués avant 2001 d’acheter des voitures plus écologiques, qu’elles soient neuves ou d’occasion."
206,"Nous permettrons à tous de pouvoir réaliser les travaux nécessaires, notamment à ceux qui n’ont pas aujourd’hui toutes les ressources pour investir."
207,"Nous proposerons un audit gratuit à tous les propriétaires occupants en situation de précarité énergétique : maisons à la campagne, pavillons du périurbain, copropriétés où les travaux ont été trop longtemps repoussés."
208,"Nous viserons la rénovation de la moitié des logements-passoires des propriétaires les plus modestes dès 2022, afin de diminuer les émissions et de faire baisser les charges (électricité, fioul, gaz). A cette fin, via un fonds public doté de 4 milliards, nous financerons les travaux des propriétaires les plus précaires."
209,"Nous accompagnerons les PME françaises pour qu’elles se lancent dans des plans anti-gaspi afin de réduire leurs consommations d’énergies et de ressources, grâce à des diagnostics aidés. Les coûts des diagnostics seront remboursés avec une partie minime des économies réalisées."
210,"Nous rémunérerons les agriculteurs pour les services environnementaux qu’ils rendent (entretien des paysages, pâturage des alpages qui réduisent les avalanches, etc.), à hauteur de 200 millions d’euros par an dans le cadre de la PAC."
211,Nous lancerons un plan de transformation agricole de 5 milliards d’euros sur 5 ans. Les financements seront réservés à :
212,"Nous mobiliserons les chefs d’Etat et les entreprises, afin de créer une dynamique et une prise de conscience de même ampleur que celle engagée sur la question climatique, grâce à une conférence mondiale. On localisera dans les outre-mer l'Agence française pour la biodiversité."
213,"Nous devrons prendre des sanctions commerciales au niveau européen contre les pays qui ne respectent pas les clauses environnementales des accords commerciaux conclus avec l’Union européenne. Face aux velléités du nouveau Président américain, la France devra notamment peser pour que l’Europe mette les Etats-Unis face à leurs responsabilités."
214,Nous proposerons à nos partenaires de lancer dans toute l’Union européenne des conventions démocratiques dès la fin 2017.
215,"Nous mettrons en place des listes européennes pour élire les 73 eurodéputés correspondant aux sièges britanniques au Parlement européen. Si le calendrier des négociations du Brexit le permet, ce changement pourra avoir lieu dès les élections européennes de juin 2019."
216,"Nous proposerons à nos partenaires de renforcer le corps de police des frontières européen, en lui donnant une capacité de surveillance et de protection durables des frontières extérieures. L'objectif est de 5 000 hommes mobilisables par la nouvelle Agence européenne de garde-frontières et de garde‑côtes."
217,"Nous proposerons de développer des accords globaux avec les principaux pays de départ et de transit des migrants, fondés sur une aide au développement, l’installation de points de contrôle dans ces pays avant l’arrivée dans l’UE, l’aide à la lutte contre les passeurs et le retour des migrants non autorisés à entrer dans l’UE. Le respect de ces engagements sera vérifié lors d’une conférence annuelle et conditionnera le niveau de l’aide au développement."
218,Nous proposerons de créer un Fonds européen de défense qui financera des équipements militaires communs (ex. drone européen) et des programmes conjoints de recherche‑développement en matière militaire.
219,"Nous proposerons de mettre en place un Quartier Général européen permanent chargé d’assurer une planification et un contrôle des opérations de défense européenne, en lien étroit avec les centres de commandement nationaux et l’OTAN."
220,"Nous proposerons de créer un Conseil de sécurité européen rassemblant les principaux responsables militaires, diplomatiques et du renseignement des Etats membres."
221,"Pour cela, nous mettrons en place une coopération spécifique entre les Etats membres qui souhaitent avancer ensemble sur les questions de défense sans attendre la participation de tous les pays de l’UE."
222,"Nous proposerons d’établir un véritable système d’information européen pour faciliter les actions de renseignement : une base de données centralisée avec un échange obligatoire d’informations, accessible aux services de renseignement des différents Etats membres."
223,Nous proposerons de renforcer et d’harmoniser la sécurité des cartes d’identité (biométrie).
224,"Nous proposerons de créer un budget pour la zone euro avec 3 fonctions (investissements d’avenir, assistance financière d’urgence et réponse aux crises économiques). L’accès à ce budget sera conditionné au respect de règles communes en matière fiscale et sociale (pour éviter le dumping au sein de la zone euro)."
225,"Nous proposerons de créer un poste de ministre de l’Economie et des Finances de la zone euro, qui aura la responsabilité du budget de la zone euro, sous le contrôle d’un Parlement de la zone euro, rassemblant les parlementaires européens des Etats membres."
226,"Nous exigerons que soit mis en place un socle de droits sociaux européens, en définissant des standards minimums en matière de droits à la formation, de couverture santé, d’assurance chômage ou de salaire minimum (à des niveaux tenant compte de l'inégal développement des Etats membres)."
227,"Nous défendrons le renforcement des instruments anti-dumping, qui doivent être plus dissuasifs et plus réactifs (par ex. pour lutter contre la concurrence déloyale de pays comme la Chine ou l’Inde sur l’acier)."
228,"Nous défendrons un ""Buy European Act"" permettant de réserver l’accès aux marchés publics européens aux entreprises qui localisent au moins la moitié de leur production en Europe."
229,"Nous proposerons de mettre en place au niveau européen un instrument de contrôle des investissements étrangers en Europe pour préserver nos intérêts et secteurs stratégiques, à l’instar de ce que font les Etats-Unis ou la Chine ou de ce qui existe en France."
230,"Nous proposerons de créer un « procureur commercial européen », pour vérifier le respect des engagements pris par nos partenaires et sanctionner rapidement leur violation, notamment en matière sociale, environnementale ou fiscale."
231,Nous exigerons que soit intégré dans tous les accords commerciaux de l’UE un volet de coopération fiscale ainsi que des clauses sociales et environnementales contraignantes (en abaissant en priorité les tarifs douaniers sur les biens et services « propres » et en instituant des sanctions commerciales en cas de violation des clauses sociales et environnementales).
232,"Nous proposerons la mise en place des comités de vigilance associant des représentants d’associations et d’ONG au cours de la négociation, puis pour l’application des accords commerciaux et l’évaluation de leur impact."
233,"Nous réformerons le marché carbone européen, en agissant par la fixation d'un prix plancher de la tonne de carbone. C’est la condition d’une transition énergétique efficace et équitable pour nos entreprises."
234,"Nous rendrons la politique agricole commune plus protectrice et plus réactive, en mettant en place des mécanismes de stabilisation des revenus adaptés à chaque filière (subvention contra-cyclique, régulation de la production…) et en favorisant une agriculture plus respectueuse de l’environnement."
235,Nous promouvrons la mise en place d’un Fonds européen de financement en capital-risque pour accompagner la croissance des start-up européennes du numérique. Ce fonds devra être doté d’au moins 5 milliards d'euros.
236,"Nous devrons renégocier avec les Etats-Unis le  *Privacy Shield*, le cadre de protection des données, d’ici 2018, afin de garantir la préservation des données personnelles de tous les Européens."
237,"Nous proposerons la mise en en place d'une Agence européenne pour la confiance numérique, chargée de réguler les grandes plateformes numériques pour garantir la protection des données personnelles et la loyauté de leur fonctionnement."
238,"Nous proposerons de généraliser progressivement le programme « Erasmus », avec l’objectif de 200 000 jeunes Français par an (soit 25% d’une classe d’âge) effectuant au moins un semestre à l’étranger d’ici 2022."
239,Nous inciterons à la création d’un statut européen de l’apprenti facilitant la mobilité.
240,"Nous défendrons le mariage pour tous, qui est un acquis fondamental du quinquennat en cours."
241,"Nous lutterons contre l’homophobie du quotidien, notamment dans le milieu du travail, en multipliant les opérations de contrôles aléatoires (""testing"") et de désignation publique des entreprises fautives (""name and shame"")."
242,Nous assurerons la participation de la France à une initiative internationale pour lutter contre les trafics et la marchandisation des femmes liés au développement de la GPA dans le monde.
243,Nous sommes favorables à l’ouverture de la procréation médicalement assistée (PMA) pour les femmes seules et les couples de femmes.
244,Nous ne sommes pas favorables à autoriser la gestation pour autrui (GPA) en France.
245,"Nous assurerons que les enfants issus de la GPA nés à l’étranger voient leur filiation reconnue à l’état-civil français, selon la jurisprudence de la Cour Européenne des Droits de l’Homme."
246,Le plan d’investissement
247,Nous donnerons la priorité à l’accessibilité des transports publics et de la voirie.
248,Nous accompagnerons les collectivités locales pour qu’elles fournissent une solution d’accessibilité à leurs habitants.
249,Nous investirons pour faciliter l’accessibilité numérique. Nous créerons une plateforme numérique collaborative pour généraliser des bonnes pratiques locales.
250,"‘Changer de regard’ sur le handicap commence par ‘mieux connaître’ le handicap : nous instaurerons une sensibilisation systématique au handicap dans les écoles primaires et les collèges, en favorisant l’intervention de personnes concernées dans les classes."
251,"Nous encouragerons la tenue d’actions collectives autour du handicap dans les administrations, les grandes entreprises publiques et les collectivités (séminaires, mécénat de compétence, collectes, partenariats, programmes d’aide)."
252,"Nous favoriserons des binômes entre personnes valides et handicapées dans les différents lieux de vie (école, travail, ville) fondés sur l’échange et la contribution effective de chacun. L’aide ne doit pas seulement passer par un professionnel ou la famille."
253,"Nous identifierons un référent facilement accessible pour chaque personne, qui permettra de renforcer l’accompagnement aux démarches."
254,Nous améliorerons la protection juridique des majeurs sous tutelle afin de répondre aux recommandations récentes du Défenseur des droits. Nous développerons les moyens des services des tutelles afin de permettre un encadrement individualisé de qualité de ces personnes.
255,"L'allocation aux adultes handicapés (AAH), pour une personne seule, est aujourd'hui d'environ 800€ par mois : nous la porterons au-delà de 900 par mois."
256,Nous instaurerons des évaluations systématiques de la satisfaction dans les établissements médico-sociaux.
257,Nous adapterons les règles de tarification des établissements et services médico-sociaux pour permettre une réponse individualisée et le maintien du lien avec les familles.
258,Les bailleurs sociaux devront identifier les logements adaptés pour les personnes handicapées et les personnes vieillissantes de leur parc (logements en rez-de-chaussée accessibles sans marche depuis le trottoir par exemple) et rendre cette liste transparente.
259,"Les bailleurs sociaux devront proposer des solutions de relogement aux personnes handicapées et vieillissantes dont le logement social n'est plus adapté, ou bien faire des travaux dans ces logements (par exemple changer une baignoire en douche, adapter le mobilier de la cuisine,...)."
260,Nous continuerons à encourager la scolarisation en milieu ordinaire des nombreux enfants aujourd’hui sans solution scolaire.
261,Nous donnerons accès à un(e) auxiliaire de vie scolaire à tous les enfants en situation de handicap qui en ont besoin pour avoir une scolarité comme les autres.
262,"Nous améliorerons le parcours des jeunes permettant l’accès aux diplômes, notamment au travers des adaptations numériques."
263,"Nous améliorerons la vie des personnes handicapées autour de l’école, par exemple en assurant une meilleure accessibilité des activités de loisirs péri-scolaires, en organisant des séjours de vacances dédiés ou mixtes."
264,Nous ferons de la lutte contre la discrimination une priorité nationale. Nous développerons des opérations de contrôles aléatoires et imprévus à grande échelle. Nous désignerons les entreprises fautives. Les partenaires sociaux seront également mobilisés.
265,"Nous prévoirons un abondement public pour le compte personnel d'activité des personnes handicapées et introduirons une labellisation spécifique pour les formations qui leur sont destinées, tenant compte des débouchés professionnels des formations."
266,Nous développerons et encouragerons les initiatives de tutorat dans l’entreprise.
267,Nous encouragerons les expérimentations tripartites (Pôle Emploi/associations/organismes de formation) pour favoriser l'insertion et la reinsertion des travailleurs handicapés.
268,"Nous poursuivrons et amplifierons les actions incitatives en faveur de l’accessibilité des cabinets médicaux, de la formation des médecins aux spécificités de l’examen de la personne handicapée. Nous poursuivrons l’inventaire pour la revalorisation des actes longs."
269,"Nous financerons des appels à projet pour le développement d’appareils médicaux (mammographies, scanners...) adaptés et innovants."
270,"Nous lancerons un plan d’évaluation des techniques et méthodes de prise en charge des handicaps (rééducation, réadaptation, réhabilitation cognitive et/ou comportementale) par des travaux encadrés par des enseignants chercheurs."
271,Nous permettrons le don de RTT entre collègues pour les personnes aidantes dans les entreprises
272,Nous prendrons en compte la situation des personnes aidantes dans le calcul de l’âge de départ à la retraite dans la réforme que nous conduirons.
273,"Nous permettrons aux aidants de mieux se former ou d’être accompagnés, au moment de l’annonce du handicap d'un proche et de manière régulière."
274,"Définir de façon systématique des indicateurs d’inclusion pour chacune des politiques publiques menées. Il s’agit de partager, en amont, des objectifs clairs et précis dans tous les domaines pour mieux évaluer, en aval, l’impact des politiques publiques décidées."
275,Nous proposerons que chaque étranger en situation régulière arrivant en France ait droit à une formation linguistique suffisante pour atteindre le niveau B1 (niveau qui permet la naturalisation). Cette certification :
276,Nous mettrons en place des programmes locaux d’intégration
277,"Nous allégerons les procédures et réduirons les délais d’obtention des visas « talents », pour améliorer l’attractivité de la France dans la compétition internationale pour attirer les talents étrangers (créateurs d’entreprises, d’investisseurs, de chercheurs ou d’artistes)."
278,"Nous développerons les visas de circulation pour les professionnels (entreprises, scientifiques..) : ceux-ci devraient être inscrits sur une liste de bona fide établie sous la responsabilité de la chambre de commerce locale ou du service économique régional de l’ambassade, afin de permettre un traitement rapide des dossiers."
279,Nous simplifierons les modalités d’accès au travail pour tous les étudiants titulaires d’un master en France.
280,Nous réformerons les conditions d’examen des demandes d’asile avec l’objectif d’assurer une prise de décision en 8 semaines pour toutes demandes.
281,"Nous réformerons les modalités de recours contre les décisions de refus. En cas de recours, le jugement interviendra dans un délai de 6 à 8 semaines."
282,"Nous renforcerons le corps de police des frontières européen, en lui donnant une capacité de surveillance et de protection durables des frontières extérieures. Il faut fixer une ambition de 5 000 hommes mobilisables par la nouvelle Agence européenne de garde-frontières et de garde‑côtes."
283,"Nous développerons des accords globaux avec les principaux pays de départ et de transit des migrants, fondés sur une aide au développement, l’installation de points de contrôle dans ces pays avant l’arrivée dans l’UE, l’aide à la lutte contre les passeurs et le retour des migrants non autorisés à entrer dans l’UE."
284,Nous réduirons le taux d’impôt sur les sociétés jusqu’à la moyenne européenne de 25%.
285,"L’Impôt de Solidarité sur la Fortune (ISF) ne concernera plus l’investissement qui sert l’économie (actions, parts, titres d’entreprises). Il sera remplacé par un Impôt sur la Fortune Immobilière, qui reposera uniquement sur les biens immobiliers, dans les mêmes conditions que l’ISF aujourd’hui."
286,"Un prélèvement forfaitaire unique (PFU) de l’ordre de 30% sera appliqué à l’ensemble des revenus tirés du capital mobilier (intérêts, dividendes, plus-values mobilières etc.)."
287,"Nous garantirons stabilité et visibilité aux acteurs en matière fiscale. Nous sanctuariserons notamment le Crédit Impôt Recherche, le Crédit Impôt Innovation et le dispositif Jeunes Entreprises Innovantes sur la durée du quinquennat, tout en poursuivant la simplification de la mécanique administrative pour en bénéficier."
288,"Nous rendrons plus transparente et plus efficace la formation professionnelle, pour que se former devienne une démarche naturelle."
289,15 des 50 milliards d’euros du plan d’investissement public seront investis dans les compétences.
290,"Nous ferons de la France une terre d’expérimentation, où il sera à la fois plus simple et plus rapide d’expérimenter des solutions industrielles nouvelles."
291,Nous refonderons l’action de l’administration pour la mettre au service des entreprises et l’inciter à produire des règles simples et stables.
292,Nous développerons la négociation collective au plus près des travailleurs pour décider des règles qui régissent leur vie quotidienne au plus près du terrain.
293,Nous défendrons l’instauration d’un contrôle européen sur les investissements étrangers afin de défendre ensemble nos entreprises stratégiques.
294,Nous défendrons le renforcement des procédures européennes anti-dumping afin de pouvoir agir plus rapidement et de manière plus dissuasive.
295,"Nous défendrons un ""Buy European Act"" permettant de réserver l’accès aux marchés publics européens aux entreprises qui localisent au moins la moitié de leur production en Europe."
296,"Nous défendrons, au niveau européen, une taxe sur le chiffre d’affaires réalisé dans nos pays pour des prestations de service électronique."
297,Nous devrons prendre des sanctions commerciales contre les pays qui ne respectent pas les clauses sociales et environnementales des accords commerciaux conclus avec l’Union européenne.
298,"A l’image de la politique spatiale européenne, nous pousserons par exemple à la définition d’une nouvelle politique européenne pour favoriser le développement des industries stratégiques pour la transition écologique."
299,Nous constituerons un Fonds pour l’industrie et l’innovation. Il sera doté de 10 milliards d’euros issus des actions d’entreprises possédées de manière minoritaire par l’Etat et sera placé au service de notre industrie et de l’innovation.
300,"Nous concentrerons progressivement la gestion de l’ensemble des aides à l’innovation de l’Etat et de ses opérateurs au sein de Bpifrance, et conforterons son rôle dans l’accompagnement des PME et ETI à l’export."
301,"Nous armerons les nouvelles grandes régions en matière d’anticipation des restructurations et de réindustrialisation, avec notamment la création de fonds de retournement et de fonds de dette régionaux."
302,"Nous créerons, dans chaque département, un tribunal de première instance qui fusionnera l’ensemble des tribunaux locaux spécialisés de première instance. Ce tribunal traitera l’ensemble des matières dans des pôles dédiés : pénal, social, affaires familiales, commercial, civil…. Les justiciables n’auront plus à chercher leur juge."
303,"Nous créerons un service d’accueil unique du justiciable sur les anciens sites des juridictions fusionnées. Dans ces points d’accueil, les justiciables, quel que soit le contentieux, pourront être renseignés et accompagnés, effectuer les démarches préalables à l’audience, et suivre l’avancée de leur dossier."
304,"Nous modifierons les ressorts des cours d’appel afin qu’aucune ne soit à cheval sur plusieurs régions administratives et qu’aucun département ne dépende d’une cour qui ne soit pas dans la même région que lui. Là encore, cela ne nécessite pas de fermer les sites : tout en maintenant sur place l’activité juridictionnelle, l’administration (ressources humaines, gestion financière…) des cours d’appel plus modestes où l’activité est insuffisante pourra être maintenue mais uniquement comme échelon juridictionnel de proximité et non comme structure de gestion."
305,"Nous ferons en sorte que, sauf exception, toutes les décisions des premiers juges soient immédiatement exécutoires pour que l’appel ne soit pas dilatoire et ne soit pas un prétexte à délais."
306,Nous ramènerons le nombre de modes de saisine de 15 à 2 pour les procédures civiles.
307,"Avec la numérisation, les juges et les greffiers bénéficieront de nouveaux outils qui permettront de simplifier et d’automatiser des tâches répétitives comme les enregistrements ou les convocations, comme les demandes de transmission de pièces justificatives. Les juges bénéficieront d’outils numériques d’aide à la décision."
308,Nous simplifierons la gestion des tutelles pour les personnes âgées.
309,Nous simplifierons le traitement des procédures en matière pénale.
310,"Nous créerons un service public numérique de la justice, avec un portail unique d’accès sur le modèle d’impots.gouv.fr. Les citoyens et leurs avocats y trouveront toutes les informations pratiques. Ils pourront se pourvoir en justice depuis leur ordinateur, transmettre une requête, des pièces, ou suivre leur dossier depuis leur smartphone."
311,"Nous créerons une procédure simple, exclusivement numérique et rapide pour le règlement des litiges de la vie quotidienne."
312,Nous favoriserons la création de plateformes de règlement amiable des litiges qui lorsqu’elles seront tenues par des professionnels associant avocats huissiers ou notaires pourront conclure des accords ayant la force d’un jugement.
313,Nous réformerons l’aide juridictionnelle pour qu’elle soit plus responsable et efficace.
314,Toute personne condamnée à une peine de prison ferme inférieure ou égale à 2 ans devra être effectivement incarcérée avant que ne soient envisagées des mesures d’aménagement de cette peine. Le principe de l’automaticité de l’examen de l’aménagement de peine sera donc supprimé.
315,"Nous instaurerons le principe d’un examen automatique de l’aménagement de la peine aux 2/3 de la peine exécutée. Sauf avis contraire du juge d’application des peines, le détenu verra sa peine aménagée. La décision sera évidemment accompagnée de mesures alternatives à la détention."
316,Nous rénoverons les bâtiments pénitenciaires anciens pour qu’ils soient aux normes d’habitat décent. Nous remplacerons nombre pour nombre ceux qui ne pourront être rénovés.
317,"Nous construirons 15 000 places de prison supplémentaires sur le quinquennat, soit environ un quart de plus qu’aujourd’hui. L’objectif est in fine que 80% des détenus au moins soient en cellule individuelle. Nous devons également revenir à des établissements à taille humaine, dans lesquels il soit possible d’organiser un parcours de détention, des activités, du travail."
318,"La personne détenue sera placée dans un parcours de peine dépendant de son comportement, c’est à dire plus favorable si elle se comporte bien, et défavorable en cas de mauvaise conduite. Il faut inscrire obligatoirement le détenu dans un parcours de travail ou de formation : mettre fin à l’inactivité et concevoir les nouveaux hébergements autour de cette notion d’activité."
319,Nous définirons des zones où la construction de logements est une priorité absolue.
320,"Quand c'est nécessaire, l'Etat prendra ses responsabilités pour organiser la construction dans les zones tendues, en recourant par exemple plus largement aux dispositifs de type ""Opération d'Intérêt National"", en délivrant les permis de construire, en détendant les règles de constructibilité au maximum et en accélerant les procédures, y compris en limitant les possibilités de recours."
321,Nous construirons 80 000 logements pour les jeunes : 60 000 logements pour les étudiants et 20 000 logements pour les jeunes actifs.
322,"Nous mobiliserons les bailleurs sociaux pour créer au sein du parc social des « logements jeunes » (objectif : 30 000 supplémentaires). Ces logements seront accessibles sans dépôt de garantie, sans demande de caution et pour un bail non renouvelable."
323,"Nous créerons un bail « mobilité professionnelle » pour répondre aux besoins des actifs en mobilité temporaire (formation, période d'essai, stage)."
324,Nous maintiendrons la loi SRU (Loi Solidarité et Renouvellement Urbain) qui a accéléré l’accroissement de la construction de logements sociaux depuis 16 ans.
325,"Nous poursuivrons la production de logements sociaux au même niveau et au même rythme que ces dernières années, en concentrant les aides de l’Etat sur les logements aux plus faibles loyers et dans les zones où la demande en logement social est la plus forte."
326,Nous ferons la transparence sur l’attribution des logements sociaux.
327,"Nous renforcerons fortement la mobilité dans le parc social là où la demande est très forte en tenant compte de manière plus dynamique de l'évolution de la situation des locataires et en fluidifiant les changements  de logement nécessaires à l'évolution des besoins des locataires (vieillissement, arrivée ou départ des enfants, mobilité professionnelle,...)"
328,"Nous créerons 10 000 places supplémentaires en pension de famille sur le quinquennat. Ces places sont adaptées aux personnes isolées, « cassées » par des années de vie dans la rue. Elles y trouvent un endroit où poser leurs bagages, le temps nécessaire, pour reprendre pied."
329,"Nous augmenterons considérablement la part de l’intermédiation locative (gestion ou location d’un logement du parc privé par une association pour y loger
des ménages à faibles ressources). Nous demanderons aux bailleurs sociaux d’acheter à cette fin 40 000 logements privés pour passer de 25 000 à 65 000 places en intermédiation locative."
330,"A destination des sans-abris, nous assurerons un droit à la domiciliation (qui permet de déclencher d’autres droits, notamment l’accès aux minima sociaux ou la candidature aux logements HLM et d’assurer le suivi de leur courrier) en faisant évoluer la mission de service public de La Poste."
331,Nous exonèrerons 4 Français sur 5 de la taxe d’habitation.
332,"Nous proposerons un audit gratuit à tous les propriétaires occupants en situation de précarité énergétique : maisons en zone rurale, pavillons du périurbain, copropriétés où les travaux ont été trop longtemps repoussés."
333,"Nous viserons la rénovation de la moitié des logements-passoires dès 2022, afin de diminuer les émissions et de faire baisser les charges (électricité, fioul, gaz). Les passoires énergétiques seront interdites de location à compter de 2025. A cette fin, via un fonds public, nous prendrons intégralement en charge les travaux des propriétaires les plus précaires, avec un remboursement au moment de la vente du bien."
334,"Nous permettrons à tous de pouvoir réaliser les travaux nécessaires, notamment à ceux qui n’ont pas aujourd’hui toutes les ressources pour investir. Nous transformerons le Crédit d’Impôt Transition Energétique (CITE) en prime immédiatement perceptible au moment des travaux et non l'année suivante, ce qui favorisait les ménages les plus aisés : ainsi, ceux qui engagent des travaux ne seront pas soutenus par l’Etat un an après leur décision, mais dès le moment où ils commencent leurs travaux."
335,Nous encouragerons l'association des travaux de maintien à domicile des personnes âgées avec les travaux de rénovation énergétique.
336,"Nous amplifierons le programme de rénovation urbaine en le portant à 10 milliards d'euros, permettant ainsi de répondre aux enjeux des 450 quartiers retenus."
337,"Nous construirons des logements à bas loyers ailleurs que dans les quartiers où ils sont aujourd'hui concentrés, nous  proposerons des relogements à l'échelle intercommunale et mobiliserons dans cet objectif tous les bailleurs sociaux."
338,Nous ne créerons pas de nouvelles normes de construction sur le quinquennat.
339,"Afin de faire des ports français les principales portes d’accès à la France, nous établirons une nouvelle stratégie portuaire nationale, alliant Grands ports maritimes et ports décentralisés et secondaires."
340,Nous soutiendrons notre secteur de la pêche et de l’aquaculture pour garantir la souveraineté alimentaire de notre pays.
341,"Nous repenserons les conditions de l’emploi maritime, notamment en renforçant ou en créant les passerelles au sein du monde maritime et avec les autres secteurs d'activité."
342,Nous soutiendrons le développement des énergies marines renouvelables afin d’atteindre les objectifs fixés par la loi de transition énergétique et de construire une filière industrielle française.
343,"Nous encouragerons une valorisation raisonnée de nos ressources marines stratégiques, notamment dans le champ des biotechnologies ou des métaux rares."
344,"Nous développerons la recherche marine, parent pauvre de la recherche française."
345,"Nous accorderons une attention particulière à la protection de la biodiversité marine. Nous proposerons d’organiser, dans un territoire d’outre-mer, une conférence mondiale sur la biodiversité."
346,"Les contrats de développement durable, passés entre l’Etat et les régions, comporteront un volet maritime sur nos façades."
347,"Nous renforcerons le travail public-privé entrepris lors du précédent quinquennat autour du Comité France maritime. Dans cet esprit, nous repenserons l’utilisation des espaces marins et littoraux grâce à une planification spatiale souple, dynamique et évolutive."
348,Nous encouragerons la dynamique enclenchée par le Cluster maritime pour avoir les moyens de construire une French Sea Tech. Notre ambition portera sur :
349,Nous conforterons le rôle et les moyens des acteurs de l’Etat en mer pour assurer le contrôle de notre espace maritime et des richesses qu’il contient.
350,"Nous lancerons un appel à projets en direction des agglomérations pour soutenir la création de solutions d’information ou de distributions intermodales, donnant accès à toutes les solutions de mobilité, de la voiture aux transports collectifs en passant par le vélo ou le covoiturage."
351,"Nous construirons des infrastructures pour connecter entre eux les modes de transport : parkings relais, gares routières, correspondances…"
352,"Nous développerons les aides à la mobilité pour permettre le retour à l’emploi, qu’il s’agisse de réduire les coûts de transport ou de déménager pour se rapprocher d’un emploi."
353,"Le développement du covoiturage sera renforcé, grâce à la mise en place des voies dédiées aux bus, VTC et covoiturages sur les autoroutes urbaines et d’une modulation des péages en fonction de l’occupation des  véhicules."
354,Nous soutiendrons les expérimentations et nous développerons le cadre réglementaire nécessaires au développement des voitures autonomes.
355,Nous proposons donc un plan d’urgence pour les investissements de rénovation (rail et route).
356,Nous réaliserons un programme d’investissement ciblé sur la lutte contre la congestion en agglomération.
357,"Nous accélérerons la transformation digitale des routes et des trains pour accroître le débit et la fiabilité des infrastructures existantes. Cette action, combinée à la modernisation des réseaux, devra permettre de relancer le fret ferroviaire qui souffre de circulations dégradées."
358,"Nous ferons une loi d’orientation sur les infrastructures, incorporant les besoins de renouvellement de l’existant, dès le début du mandat, pour sélectionner les projets à réaliser et s’assurer qu’ils sont bien financés, sans que cela se fasse au détriment de l’existant."
359,"Nous créerons une prime exceptionnelle de 1000 euros pour permettre à tous ceux dont les véhicules ont été fabriqués avant 2001 d’acheter des voitures plus écologiques, qu’elles soient neuves ou d’occasion."
360,"Pour réduire massivement la pollution liée aux particules fines, la fiscalité du diesel sera alignée sur celle de l’essence pendant le quinquennat."
361,"Nous pèserons pour renforcer les normes anti-pollution européennes pour les véhicules neufs et les contrôles en conditions réelles (en tirant les enseignements du scandale Volkswagen), avec pour objectif de long terme de n’avoir plus, en 2040, aucune vente de véhicule thermique."
362,"Nous couvrirons en très haut débit l’ensemble du territoire. Ce sera fait d’ici la fin du quinquennat, pour ne laisser aucun territoire à la traîne dans la transition numérique."
363,Nous éliminerons les zones sans réseau (aussi appelées « zones blanches »).
364,"Nous porterons une stratégie d’inclusion à destination de ceux qui rencontrent des difficultés à utiliser le numérique en développant avec les associations et les collectivités, un réseau d’accompagnement sur le territoire qui proposera du temps de soutien et des formations aux outils et aux services numériques."
365,Nous aiderons les TPE et les PME à réussir leur transformation numérique.
366,"D’ici 2022, 100% des démarches administratives pourront être effectuées depuis Internet – sauf première délivrance des documents d’identité officiels. Par exemple, il sera possible pour le citoyen de faire une demande de procuration électorale sans se rendre au commissariat."
367,Nous nous appuierons sur le numérique pour redéfinir l’action publique.
368,"Nous créerons un compte citoyen en ligne (site et application), qui rassemblera sur une même interface tous les droits, notamment ceux liés à la santé, à la trajectoire professionnelle, à la formation, à la situation fiscale, aux droits civiques."
369,Nous créerons une banque de données numériques réutilisables.
370,"Nous créerons un service public numérique de la justice, avec portail unique d’accès (sur le modèle d’impots.gouv.fr). Les citoyens et leurs avocats y trouveront toutes les informations pratiques et la jurisprudence applicable à leur cas. Ils pourront se pourvoir en justice depuis leur ordinateur, transmettre une requête, des pièces, ou suivre leur dossier depuis leur smartphone."
371,"Nous encouragerons le développement de la télé-médecine et du numérique dans le domaine de la santé, afin de donner aux médecins la possibilité d’assurer un suivi à distance, par exemple pour un patient cardiaque via un objet connecté ou en accélérant une consultation chez un patient à risque. Ce sera un axe majeur du grand plan d’investissement. Cela permettra, à terme, de faire des économies réelles."
372,"Nous développerons le droit à l’expérimentation dans le respect des impératifs de sécurité, de protection du consommateur et de loyauté de la concurrence."
373,Nous définirons une stratégie nationale pour l’intelligence artificielle dont le développement va avoir de profonds impacts sur une série de secteurs. Les chercheurs français sont bien armés pour y jouer un rôle majeur.
374,"Nous adopterons un cadre fiscal qui encourage l'investissement dans l'innovation, notamment en instaurant un prélèvement forfaitaire unique sur l'ensemble des revenus tirés du capital mobilier et en remplaçant l'ISF par un impôt sur la fortune immobilière."
375,Nous développerons les instruments d’une transparence sur l’usage des données privées par les acteurs du numérique.
376,"Nous agirons pour un marché unique du numérique en Europe, qui permettra aux entreprises innovantes de disposer des mêmes règles partout dans l’Union européenne."
377,Nous agirons pour la mise en place d’un Fonds européen de financement en capital-risque pour accompagner la croissance des start-up européennes du numérique.
378,"Nous renégocierons avec les Etats-Unis le « Privacy Shield », le cadre de protection des données, d’ici 2018, afin de garantir réellement la préservation des données personnelles de tous les Européens."
379,"Nous proposerons la mise en en place d'une Agence européenne pour la confiance numérique, chargée de réguler les grandes plateformes numériques pour garantir la protection des données personnelles et la loyauté de leur fonctionnement."
