,numéro,titre,introduction,mesures
27,28,"Réduire le temps de travail, travailler moins pour travailler tous","Pourquoi tant de gens s'épuisent au travail alors que d'autres s'epuisent à essayer d'en trouver ? Le progrès technique et la productivité des travailleurs français permettent au contraire de travailler tous en travaillant moins. La réduction du temps de travail est un objectif historique particulièrement pertinent en ces temps de révolution technologique. Mais c'est aussi la politique la plus juste, la plus efficace et la moins coûteuse contre le chômage","Généraliser une 6e semaine de congés payés pour tous les salariés. Appliquer réellement et immédiatement les 35 heures :Majorer les heures supplémentaires (25 % pour les 4 premières et 50 % et plus au-delà)Revenir sur la flexibilisation, l'annualisation, l'intensification et les horaires fractionnésRevenir sur le forfait-jour et le limiter aux seuls cadres dirigeantsRevenir sur les élargissements du travail du dimanche. Majorer les heures supplémentaires (25 % pour les 4 premières et 50 % et plus au-delà). Revenir sur la flexibilisation, l'annualisation, l'intensification et les horaires fractionnés. Revenir sur le forfait-jour et le limiter aux seuls cadres dirigeants. Revenir sur les élargissements du travail du dimanche. Convoquer une conférence nationale sur le partage du temps de travail et l'impact du progrès technologique, favoriser le passage à la semaine de quatre jours pour aller vers les 32 heures et appliquer les 32 heures pour les salariés en travail de nuit et les métiers pénibles. Harmoniser les temps sociaux (par jour/semaine/année/vie) : installer des bureaux du temps ayant pour mission l'évaluation de la synchronie des temps sociaux constatés (concordance entre les horaires de travail et de garde d'enfant, par exemple), l'aide à la formulation des demandes pour l'organisation de la réduction des temps de transport emploi-domicile et de bourse d'échange d'emplois."
28,29,Instaurer un salaire maximum autorisé pour les dirigeants d'entreprise,Les inégalités ont explosé ces dernières années. Les revenus des dirigeants des grandes entreprises sont chaque fois un peu plus indécents. Que font donc ces gens pour mériter de tels salaires ? N'y a-t-il pas moyen de faire le travail de meilleure façon et pour moins cher ? Bien sûr que si ! Les actionnaires ont montré qu'ils ne voulaient pas limiter les rémunérations des grands patrons. La loi doit donc le faire !,Fixer un salaire maximum autorisé pour limiter l'écart de 1 à 20 entre le salaire le plus bas et le salaire le plus haut dans une entreprise. Interdire les parachutes dorés et les retraites chapeaux. Supprimer les stock-options.
29,30,Augmenter les salaires,"Aujourd'hui, un salarié au smic gagne à peine plus que le seuil de pauvreté. Et encore, à condition d'avoir un emploi à temps complet et non un temps partiel. C'est inadmissible. Le travail est la source de la création des richesses, les travailleurs doivent obtenir leur dû. Leur dignité et leur droit à l'existence doivent être garantis. L'augmentation du smic est une mesure de justice sociale. Mais combinée au protectionnisme solidaire, c'est aussi une mesure efficace de relance écologique de l'activité : c'est permettre aux salariés de consommer des produits de meilleure qualité et locaux.","Augmenter immédiatement le smic net mensuel de 16 % pour le porter à 1 326 euros net pour 35 heures. Engager une revalorisation des salaires des fonctionnaires, gelés depuis 2010."
30,31,"Restaurer le droit à la retraite à 60 ans, augmenter les petites pensions","François Hollande s'est vanté auprès de la Commission européenne d'avoir repoussé l'âge de la retraite à 66 ans ! En effet, il a validé le report de l'âge de la départ à 62 ans décidé par Nicolas Sarkozy en 2010. Et il a rendu encore plus inaccessibles les conditions pour avoir une retraite à taux plein en allongeant la durée de cotisations à quarante-trois ans ! Au point que de plus en plus de personnes partent à la retraite avec une pension amputée par les décotes et le manque de trimestres, du fait du chômage et de la précarité. C'est injuste. Pourtant l'argent existe pour financer les retraites, augmenter les pensions et rétablir le droit au départ à 60 ans.","Restaurer le droit à la retraite à 60 ans à taux plein, ramener la durée de cotisation pour une retraite complète à quarante ans. Revaloriser les pensions de retraite au niveau du smic pour une carrière complète et porter le minimum vieillesse au niveau du seuil de pauvreté. Assurer le financement durable des régimes de retraites solidaires, intergénérationnelles et par répartition, par la mise en contribution des revenus financiers des entreprises, par l'augmentation du nombre de cotisants et de l'assiette des cotisations (créations d'emplois, hausse des salaires, recul de la précarité, hausse de l'activité des femmes, etc.) et de leur taux, la fin des exonérations fiscales pour les régimes de retraite par capitalisation."
31,32,Réprimer les inégalités femmes-hommes dans les entreprises,"L'égalité entre les femmes et les hommes n'est pas une question morale. Ce n'est pas non plus une question institutionnelle ou sociétale. C'est d'abord une question sociale ! Aujourd'hui encore, à postes et qualifications équivalents, les femmes sont moins payées que les hommes. Et la maternité reste un risque pour la carrière de nombreuses femmes. Cela suffit. Il est plus que temps d'agir et de contraindre ceux qui ne veulent pas de l'égalité !","Étendre à toutes les entreprises l'obligation d'adopter un plan ou un accord d'entreprise contre les inégalités de salaires et de carrière entre hommes et femmes, aujourd'hui limitée aux entreprises de plus de 50 salariés. Augmenter les sanctions financières et pénales contre les entreprises qui ne respectent pas cette égalité, pouvant aller jusqu'à l'interdiction d'accès aux marchés publics. Revaloriser les métiers occupés majoritairement par des femmes (qualifications, grilles salariales…) et agir pour l'égal accès à toutes les formations et à tous les métiers. Favoriser des congés parentaux de durée identique entre les parents."
32,33,Éradiquer la pauvreté,"9 millions de personnes vivent sous le seuil de pauvreté en France, soit avec moins de 1 000 euros par mois. Des centaines de milliers de personnes tentent de survivre avec à peine quelques centaines d'euros par mois. Notre pays et nos villes comptent de nombreuses personnes sans abri abandonnées à elles-mêmes, faute d'intervention des pouvoirs publics. Le recul des services publics et la précarisation des conditions de vie ont fait exploser la pauvreté. On ne peut pas vivre heureux dans un océan de malheur. La République doit faire cesser ce scandale !","Créer un Plan personnalisé contre la pauvreté (PPP) prenant en compte la situation des personnes dans leur globalité (revenus, état de santé, insertion professionnelle, logement, etc.). Créer une garantie dignité en revalorisant les minima sociaux (aucun niveau de vie en dessous du seuil de pauvreté). Restructurer les emprunts des ménages surendettés et garantir à tous l'accès effectif aux services bancaires de base. Atteindre l'objectif de zéro sans-abri : chacun doit se voir proposer un hébergement d'urgence ou un logement et un accompagnement durable. Instaurer la gratuité de l'accès et des quantités d'eau, électricité et gaz indispensables à une vie digne en commençant par faire appliquer l'interdiction de coupure d'eau et de réduction de débit au domicile principal. Lutter contre le non-recours aux droits sociaux et civiques par la simplification des démarches et des critères, et le retrait de contreparties pour l'attribution du RSA."
33,34,Garantir le droit effectif au logement,"30 000 enfants vivent sans abri fixe dans notre pays. Près de 1 million de personnes n'ont pas de logement personnel, 4 millions sont mal logées, 12 millions sont menacées d'un problème lié à leur logement. Les loyers s'envolent dans les grandes villes. Le libre marché et les allégements fiscaux ne permettront pas de régler le problème, au contraire.","Interdire les expulsions locatives sans relogement. Construire 200 000 logements publics par an pendant cinq ans aux normes écologiques. Mettre en place une garantie universelle des loyers pour favoriser l'accès de tous au logement, par l'intermédiaire d'une caisse de solidarité alimentée par les bailleurs comme le défend la Confédération nationale du logement. Lancer un plan d'éradication du logement insalubre, de renouvellement urbain et de construction de logements sociaux en renforçant les sanctions des communes trop faiblement dotées en parc social. Imposer les hautes transactions immobilières par une taxe progressive. Soutenir les projets d'habitat participatif et coopératif."
34,35,Refuser le chantage à la dette publique,"L'argent existe pour vivre mieux. La France n'a jamais été aussi riche de son histoire. La dette n'est pas un problème. Son montant est tout à fait supportable une fois ramené à sa durée de vie réelle : plus de sept ans. Mais l'état a été volontairement appauvri par des cadeaux fiscaux aux plus fortunés, à la finance et aux grands groupes. Certains ont même gagné deux fois : ils ont pu prêter à l'État les impôts épargnés et empocher au passage des intérêts ! Ce chantage et ce rançonnage doivent cesser !","Réaliser un audit citoyen de la dette publique pour déterminer la part illégitime et préparer un réaménagement négocié (échelonnement des remboursements, baisse des taux d'intérêt, annulation partielle…). Faire racheter la dette publique par la Banque centrale."
35,36,Faire la révolution fiscale,"De l'argent, il y en a. Mais il est capté par les uns au lieu d'être mis au service de l'intérêt général par l'impôt. Le système fiscal est à bout de souffle : injuste, plein de niches et de trous, tel un gruyère. Il doit être entièrement refondé sur des bases claires, lisibles, en appliquant le principe de la progressivité qui veut que plus on gagne d'argent, plus on contribue au bien public.","Refonder l'imposition sur les revenus grâce à un impôt citoyen garantissant les recettes de l'État et celles de la Sécurité sociale et en conservant leur affectation distincteImposer les revenus du capital comme ceux du travail par une assiette large et unifiéeRendre l'impôt sur les revenus plus progressif avec un barème à 14 tranches contre 5 aujourd'hui : tout le monde doit payer et chacun selon ses moyens réelsInstaurer un revenu maximum autorisé : 100 % d'impôt pour la tranche au dessus de 20 fois le revenu médian, soit 400 000 euros de revenus annuels (33 000 euros par mois)Mettre fin au quotient conjugal, système patriarcal favorisant les inégalités salariales entre les femmes et les hommesRemplacer l'injuste quotient familial fiscal actuel par un crédit d'impôt par enfant. Imposer les revenus du capital comme ceux du travail par une assiette large et unifiée. Rendre l'impôt sur les revenus plus progressif avec un barème à 14 tranches contre 5 aujourd'hui : tout le monde doit payer et chacun selon ses moyens réels. Instaurer un revenu maximum autorisé : 100 % d'impôt pour la tranche au dessus de 20 fois le revenu médian, soit 400 000 euros de revenus annuels (33 000 euros par mois). Mettre fin au quotient conjugal, système patriarcal favorisant les inégalités salariales entre les femmes et les hommes. Remplacer l'injuste quotient familial fiscal actuel par un crédit d'impôt par enfant. Évaluer chacune des niches fiscales et supprimer les niches injustes, inefficaces socialement ou nuisibles écologiquement. Refonder l'impôt sur les sociétés pour établir l'égalité devant l'impôt entre PME et grands groupes, instaurer un barème progressif et favoriser l'investissement plutôt que la distribution de dividendes. Renforcer l'ISF. Augmenter les droits de succession sur les gros patrimoines et créer un héritage maximum pour les fortunes les plus importantes (égal au patrimoine des 0,01 % les plus riches, soit 33 millions d'euros en 2012). Réduire la TVA sur les produits de première nécessité, revenir sur les hausses récentes et réinstaurer une TVA grand luxe pour financer ces baisses."
36,37,Terrasser l'évasion et la fraude fiscales,La révolution fiscale n'est possible que si on mène en parallèle une lutte sans merci contre les déserteurs fiscaux. La fraude et l'évasion fiscales représentent un manque à gagner de 80 milliards d'euros pour l'État ! Il faut aller chercher l'argent là où il est !,"Mettre en place la taxation différentielle permettant de soumettre chaque citoyen français aux impôts français quel que soit son pays de résidence. Obliger les entreprises à déclarer leurs résultats pays par pays et taxer les bénéfices des entreprises là où ils sont réalisés. Interdire aux banques françaises toute activité dans les paradis fiscaux en retirant les licences bancaires des établissements récalcitrants. Agir contre l'évasion fiscale au niveau international, notamment en organisant le blocus des paradis fiscaux. Renforcer les moyens humains et techniques de l'administration fiscale et des douanes dans la lutte contre la fraude et l'évasion fiscales."
37,38,"La transition écologique, enjeu central","Pour les tenants du système, l'écologie est une question à part. C'est tout l'inverse. L'urgence écologique est une question fondamentale. C'est autour et à partir de l'exigence écologique que doit se penser toute la politique de la Nation. Pour cela, la préoccupation écologique doit être inscrite au sommet de la hiérarchie des normes et de l'activité de l'État. Le temps de l'écosystème, c'est le temps long. Le temps court de la finance et du productivisme saccage tout. La reconquête du temps long est la principale exigence. C'est le but de la planification écologique : mettre en cohérence dans le temps et dans l'espace les mesures nécessaires pour faire bifurquer le modèle de production, de consommation et d'échanges.","Constitutionnaliser la règle verte : ne pas prélever sur la nature davantage que ce qu'elle peut reconstituer ni produire plus que ce qu'elle peut supporter. Adopter une loi-cadre instaurant une planification écologique, démocratique et articulant les niveaux national et local. Créer une fonction de délégués départementaux à l'écologie chargés d'alerter sur les dysfonctionnements, sur le modèle des délégués départementaux de l'Éducation nationale."
38,39,100 % d'énergies renouvelables en 2050,"Le changement climatique impose de sortir des énergies émettrices de gaz à effet de serre. Le nucléaire n'est pas une solution d'avenir. Il ne règle aucune question : ni l'indépendance d'approvisionnement, ni la sûreté des installations, ni la gestion des déchets, ni les coûts financiers. Il faut donc sortir des deux à la fois. C'est un horizon technique et humain enthousiasmant. Plusieurs études (NegaWatt, Ademe…) ont montré que c'est possible d'ici 2050. Ne manque que la volonté politique. Nous l'avons.","Adopter un plan de transition énergétique avec un double axe sobriété/efficacité énergétique et transition vers les énergies renouvelablesDévelopper l'ensemble des énergies renouvelablesSortir des énergies carbonées en commençant par l'arrêt des subventions aux énergies fossiles et de toute exploration de gaz et pétrole de schiste et de houilleStopper la privatisation des barrages hydroélectriques. Développer l'ensemble des énergies renouvelables. Sortir des énergies carbonées en commençant par l'arrêt des subventions aux énergies fossiles et de toute exploration de gaz et pétrole de schiste et de houille. Stopper la privatisation des barrages hydroélectriques. Sortir du nucléaireFermer immédiatement Fessenheim en garantissant l'emploi des salariés et leur formation pour en faire un site pilote du démentèlementAbandonner l'opération du grand carénage visant à prolonger la vie des centrales nucléaires au-delà de quarante ansAbandonner les projets d'EPR (Flamanville et Hinkley Point) et d'enfouissement des déchets nucléaires à BureRendre publique les données sur l'enfouissement des déchets nucléaires depuis soixante ans et informer sur les dangers sanitaires avérés et/ou éventuels. Fermer immédiatement Fessenheim en garantissant l'emploi des salariés et leur formation pour en faire un site pilote du démentèlement. Abandonner l'opération du grand carénage visant à prolonger la vie des centrales nucléaires au-delà de quarante ans. Abandonner les projets d'EPR (Flamanville et Hinkley Point) et d'enfouissement des déchets nucléaires à Bure. Rendre publique les données sur l'enfouissement des déchets nucléaires depuis soixante ans et informer sur les dangers sanitaires avérés et/ou éventuels. Créer un pôle public de l'énergie pour mener une politique cohérente, en renationalisant EDF et Engie (ex-GDF) en lien avec des coopératives locales de production et de consommation d'énergies renouvelables et en favorisant l'autoproduction et le partage des excédents. Revenir sur la libéralisation du marché de l'électricité et abroger la loi NOME."
39,40,Plan de rénovation écologique de tout le bâti,"Le bâti est un des principaux émetteurs de gaz à effet de serre. Les logements passoires thermiques restent très nombreux, pénalisant financièrement ceux qui les occupent (propriétaires et locataires). Les dispositifs existants ne sont pas assez efficaces : trop dispersés, trop dépendants de l'action individuelle des propriétaires. Un véritable plan doit être mis en place pour changer d'ampleur et de résultats.","Assurer l'isolation d'au moins 700 000 logements par an. Renforcer les programmes locaux de détection des passoires énergétiques, avec davantage de moyens humains et financiers. Mettre fin aux situations de précarité énergétique que vivent les ménages. Former, labelliser et coordonner les professionnels de la rénovation énergétique afin d'imposer une obligation de résultats. Mettre en place un guichet unique regroupant les demandes de financement, l'évaluation des besoins, la coordination des professionnels nécessaires pour organiser la rénovation par les propriétaires individuels."
40,41,Développer les transports publics écologiques et repenser la mobilité individuelle,"Avec le bâti, les transports sont très émetteurs de gaz à effet de serre. Et rien n'est fait pour améliorer cela. Les précédents gouvernements ont abandonné le transport ferroviaire au profit de la route (camions, bus Macron…). La libéralisation générale (ferroviaire, portuaire…) empêche une politique volontariste en laissant libre cours au marché.","Développer le transport ferroviaireAdopter un plan de développement du ferroutage et de report modal pour réduire le transport routier de marchandisesRefuser la mise en concurrence du transport ferroviaire : bloquer l'ouverture à la concurrence des TER d'ici 2023 et des trains de nuit, remettre en cause la libéralisation du transport de marchandises et voyageurs grandes lignesRevenir sur la loi Macron et l'autorisation du cabotage par autocar : les liaisons par autocar doivent êtres autorisées seulement là où il n'y a pas de lignes TER et non en concurrence avec elles. Adopter un plan de développement du ferroutage et de report modal pour réduire le transport routier de marchandises. Refuser la mise en concurrence du transport ferroviaire : bloquer l'ouverture à la concurrence des TER d'ici 2023 et des trains de nuit, remettre en cause la libéralisation du transport de marchandises et voyageurs grandes lignes. Revenir sur la loi Macron et l'autorisation du cabotage par autocar : les liaisons par autocar doivent êtres autorisées seulement là où il n'y a pas de lignes TER et non en concurrence avec elles. Développer le cabotage maritime entre les ports français et le transport fluvial. Renationaliser les autoroutes. Repenser la mobilité individuelleEngager la sortie du diesel en commençant par supprimer progressivement l'avantage fiscal pour les flottes d'entrepriseDévelopper les usages partagés de la voiture (auto-partage, covoiturage courte et longue distances) et les mobilités douces (vélo, etc.)Développer les véhicules électriques pour les flottes captives. Engager la sortie du diesel en commençant par supprimer progressivement l'avantage fiscal pour les flottes d'entreprise. Développer les usages partagés de la voiture (auto-partage, covoiturage courte et longue distances) et les mobilités douces (vélo, etc.). Développer les véhicules électriques pour les flottes captives."
41,42,Pénaliser les transports sur longue distance pour relocaliser les productions,"C'est le règne du déménagement permanent des marchandises. Les chaînes de production et les lieux de consommation sont de plus en plus éloignés. Pour relocaliser les productions au plus près des consommateurs, le protectionnisme solidaire doit s'accompagner d'une politique qui pénalise les transports de longue distance, notamment routiers.","Introduire une contribution carbone sur le transport de marchandises. Instaurer une taxe kilométrique aux frontières de la France pour intégrer le coût écologique dans les produits, qui dépendra de la distance parcourue par les produits importés. Privilégier systématiquement les circuits courts et les productions locales dans la commande publique (alimentation, fournitures, etc.) et les rendre obligatoires pour les cantines scolaires."
42,43,Consommer autrement,"Le système aujourd'hui est absurde : il prive d'eau les personnes qui ne peuvent payer et ne pénalise pas le mésusage. Changeons de logique, imposons la gratuité des quantités nécessaires à une vie digne et sanctionnons les gaspillages.",Instaurer une tarification progressive sur l'eau et l'énergie incluant la gratuité des quantités indispensables à une vie digne et pénalisant les mésusages et les gaspillages. Soutenir la création de coopératives de consommation en lien direct avec les producteurs. Imposer l'objectif d'une alimentation 100 % biologique locale dans la restauration collective. Réduire la part des protéines carnées dans l'alimentation au profit des protéines végétales.
43,44,Une France « Zéro déchet »,"Le tiers des aliments produits est jeté alors que tant de personnes n'arrivent pas à se nourrir correctement. Un nouveau continent s'est formé, fait de déchets plastiques flottants ! L'ère du jetable et des déchets doit cesser. Plusieurs villes du mondes sont engagées dans des démarches visant à éliminer les déchets. La France peut montrer l'exemple","Combattre l'obsolescence programmée des biens de consommation par un allongement des durées de garanties légales des produits. Lutter contre le suremballage, le gaspillage (notamment alimentaire) et refuser le tout jetable. Rendre obligatoires le recyclage, le compostage ou l'incinération avec récupération de l'énergie produite pour tous les déchets, généraliser les consignes dans les commerces. Soutenir toutes les initiatives s'appuyant sur la réutilisation des matériaux (ressourceries…) et développer les filières scolaires et universitaires professionnelles dans le secteur."
44,45,Sauver l'écosystème et la biodiversité,"L'activité humaine est en train de provoquer une sixième grande extinction d'espèces vivantes. La biodiversité recule sous les coups du changement climatique, des pollutions, du braconnage, etc. La lutte pour la préservation de cette biodiversité passe évidemment par une action vigoureuse au niveau international pour lutter contre ces causes. Mais elle passe aussi des actes nationaux et locaux. En somme, chacun doit apprendre à protéger la nature et la biodiversité.","Refuser la brevetabilité du vivant à tous les niveaux, lutter contre la biopiraterie. Refuser les OGM, bannir les pesticides nuisibles en commençant par une interdiction immédiate des plus dangereux (glyphosate, néonicotinoïdes, etc.). Gérer durablement l'eau, bien commun essentiel à toute forme de vie : lancer des programmes de dépollution des cours d'eau et océans, favoriser la création de régies publiques de l'eau au niveau local pour une gestion démocratique. Sanctuariser le foncier agricole et naturel et lutter contre l'artificialisation des sols. Généraliser les fermes pédagogiques pour la sensibilisation à l'enjeu écologique et l'éveil à la Nature. Éradiquer la maltraitance envers les animaux."
45,46,Pour une agriculture écologique et paysanne,"L'agro-business détruit tout : l'écosystème, la santé des consommateurs et celle des paysans. Les maux sont connus : pesticides chimiques, gigantisme agricole, ultra-spécialisation et soumission au libre marché. À terme, ce système met à mal notre capacité à nourrir l'humanité. On peut faire autrement : produire mieux pour se nourrir mieux !","Engager la réforme agraire pour faciliter l'installation des jeunes agriculteurs en limitant la concentration des terres et la course à l'agrandissement et créer 300 000 emplois agricoles grâce à des prix rémunérateurs et une refonte de la PAC. Stopper les projets de fermes usines. Développer l'agriculture biologique, proscrire les pesticides chimiques, instaurer une agriculture diversifiée et écologique (polyculture-élevage, etc.) et promouvoir les arbres fruitiers dans les espaces publics. Favoriser les circuits courts, la vente directe, la transformation sur place et plafonner les marges de la grande distribution par un coefficient multiplicateur limité pour garantir des prix rémunérateurs aux producteurs et interdire les ventes à perte pour les agriculteurs."
46,47,Organiser et aménager le territoire par la démocratie et les services publics,"Quelques métropoles reliées entre elles par le TGV et tant pis pour le reste du pays. C'est la ligne appliquée en matière d'aménagement du territoire depuis des années. Bilan : des territoires ruraux et des petites villes abandonnés, des métropoles explosées entre ghettos de riches et quartiers pauvres. Remettons de l'ordre et de la justice dans l'organisation du pays.","Arrêter les grands projets inutiles, comme l'aéroport de Notre-Dame-des-Landes. Inverser la logique des métropoles et des méga-régions, de la compétition entre territoires. Stopper l'étalement urbain en incitant au rapprochement entre bassins de vie et bassins d'emploi. Défendre et reconstruire le maillage de transports en commun et de services publics sur tout le territoire, dans les départements ruraux et les quartiers populaires."
47,48,Exploiter durablement la forêt française,"La France possède l'une des plus importantes forêts d'Europe. Mais nous importons chaque année du bois pour construire des meubles ou des maisons ! Pire, la forêt française est progressivement abandonnée à la finance. Ce joyau mérite une autre politique, écologiquement soutenable et utile pour construire une filière bois créatrice d'emplois locaux.","S'opposer à la marchandisation de la forêt française, refuser la privatisation de la forêt publique et garantir les moyens de l'Office national des forêts. Développer la filière bois française pour permettre une exploitation forestière respectueuse du rythme des forêts et de la biodiversité, répondant aux besoins (chauffage, ameublement, construction, etc.) et créatrice d'emplois locaux. Soutenir par la commande publique le développement des constructions en bois issu des forêts françaises."
48,49,Prendre les mesures immédiates et unilatérales de sauvegarde des intérêts de la Nation et d'application de notre projet,"« Il n'y a pas de choix démocratique contre les traités européens. » En tenant ces propos, le président de la Commission européenne Jean-Claude Juncker a lui-même fixé le cadre de la tyrannie qu'il exerce. Notre programme n'est pas compatible avec les règles des traités européens qui imposent l'austérité budgetaire, le libre-échange et la destruction des services publics. Pour appliquer notre programme, il nous faudra donc désobéir aux traités dès notre arrivée au pouvoir, par des mesures de sauvegarde de la souveraineté du peuple français.","S'exonérer du pacte de stabilité et des règles européennes encadrant les déficits et dénoncer le Traité sur la stabilité, la coordination et la gouvernance (TSCG) ratifié à l'initiative de François Hollande en violation de ses engagements de campagne. Cesser d'appliquer unilatéralement la directive sur le détachement de travailleurs en France : la législation nationale doit s'appliquer totalement, y compris concernant les cotisations sociales patronales et salariales. Refuser les régressions du droit européen sur les questions sociales et écologiques par rapport au droit national. Refuser les traités de libre-échange : le traité trans-atlantique TAFTA entre l'UE et les États-Unis, CETA avec le Canada et le traité TISA de libéralisation des services. Stopper la libéralisation et la privatisation de services publics (barrages hydroélectriques, transport ferroviaire intérieur grandes lignes et TER, etc.). Encadrer les mouvements de capitaux pour éviter l'évasion fiscale et les attaques spéculatives contre la France."
49,50,Organiser le processus de sortie du Royaume-Uni de l'Union européenne sans esprit de vengeance ou de punition,"Le vote du peuple britannique le 23 juin 2016 pour la sortie du Royaume-Uni de l'Union européenne doit être respecté. Cela suppose des négociations sans esprit de vengeance ni de punition, mais qui défendent l'intérêt national des Français et la coopération entre les peuples. La frontière du Royaume-Uni n'est pas dans le Pas-de-Calais : nous dénoncerons les accords du Touquet.",
50,51,"Plan A. Proposer une refondation démocratique, sociale et écologique des traités européens par la renégociation","L'UE est en voie de dislocation. Elle n'a pas voulu écouter les refus des peuples depuis le référendum français de 2005. La sortie des traités européens actuels s'impose à nous. Ce sera nécessairement un rapport de force, notamment avec le gouvernement allemand. Nous proposons donc une stratégie de gouvernement en deux temps avec un plan A et un plan B en cas d'échec du plan A. Le plan A, c'est la sortie concertée des traités européens par l'abandon des règles existantes pour tous les pays qui le souhaitent et la négociation d'autres règles. Le plan B, c'est la sortie des traités européens unilatérale par la France pour proposer d'autres coopérations. L'UE, on la change ou on la quitte. Le mandat de négociation de ces plans sera soumis au préalable à l'Assemblée nationale. La validation de ce processus passera nécessairement par une décision du peuple français par référendum.","Mettre fin à l'indépendance de la Banque centrale européenne, modifier ses missions et status, autoriser le rachat de la dette publique directement aux États, interdire à la BCE de couper les liquidités à un État membre. Sans attendre, la Banque de France sera mise au service de ces objectifs. Dévaluer l'euro pour revenir à la parité initiale avec le dollar. Mettre au pas la finance, prohiber les instruments financiers toxiques, taxer les transactions financières, contrôler les mouvements de capitaux pour empêcher les attaques spéculatives. Organiser une conférence européenne sur les dettes souveraines débouchant sur des moratoires, une baisse des taux d'intérêt, des rééchelonnements et annulations partielles. Arrêter la libéralisation des service publics (rail, énergie, télécoms…). Mettre en place un protectionnisme solidaire : arrêt de la libre circulation des capitaux et des marchandises entre l'UE et les pays tiers, arrêt des politiques de libre-échange qui ruinent les économies en développement et détruisent l'industrie européenne, autorisation des aides d'État aux secteurs stratégiques. Mettre fin au dumping à l'intérieur de l'UE par une politique volontariste et rapide d'harmonisation sociale et fiscale par le haut dans toute l'UE avec inscription d'une clause de non-régression des droits sociaux. Refonder la politique agricole commune pour garantir l'autosuffisance alimentaire, la relocalisation et l'agriculture écologique et paysanne. Abandonner le marché carbone et mettre en œuvre une véritable politique de réduction des émissions de gaz à effet de serre avec des critères de convergence impératifs."
51,52,Appliquer un « plan B » en cas d'échec des négociations,,"Stopper la contribution de la France au budget de l'Union européenne (22 milliards d'euros par an dont 7 milliards d'euros de contribution nette). Réquisitionner la Banque de France pour reprendre le contrôle de la politique du crédit et de la régulation bancaire, et pour envisager un système monétaire alternatif avec ceux de nos partenaires qui, dans la phase A, auraient manifesté leur désir de transformer l'euro en monnaie commune et non plus unique. Mettre en place un contrôle des capitaux et des marchandises aux frontières nationales pour éviter l'évasion fiscale des plus riches et des grands groupes, et se protéger des attaques spéculatives et du dumping social, fiscal et écologique. Construire de nouvelles coopérations avec les États qui le souhaitent en matière culturelle, éducative, scientifique, etc.."
52,53,Défendre et développer les coopérations avec les autres peuples d'Europe,"Les traités européens imposent la concurrence au lieu de la coopération entre les peuples. Nous voulons plus de coopération dans les domaines culturel, scientifique, industriel, écologique et social. Les espaces existants et à créer pour cela sont nombreux.","Proposer une alliance des pays d'Europe du Sud pour sortir de l'austérité et engager des politiques concertées de relance écologique et sociale de l'activité. Renforcer la participation française aux programmes de coopération plus larges que l'UE (Erasmus…) ou n'ayant rien à voir avec l'UE (CERN, Arianespace, Airbus). Proposer de nouvelles coopérations fondées sur la libre participation des Nations en matière sociale ou écologique (programme de dépollution, transition énergétique…)."
53,54,Instaurer l'indépendance de la France dans le monde,"Les quinquennats Sarkozy et Hollande ont enfermé la France dans l'Otan et l'ont privée d'une voix indépendante et originale. Pour promouvoir la paix et la coopération, retrouver l'indépendance est une nécessité absolue.","Refuser la logique du choc des civilisations. Sortir de l'Otan et refuser la participation de la France à toute alliance militaire permanente à l'exception des opérations de maintien de la paix sous l'égide de l'Onu. Stopper l'érosion du réseau diplomatique français et sa mise sous tutelle par l'UE. Sortir du FMI et de la Banque mondiale pour œuvrer à la création d'un Fonds d'urgence sociale et d'une Banque solidaire d'investissement. Offrir l'asile aux « combattants de la liberté », c'est-à-dire toute personne persécutée en raison de son action en faveur de la liberté dans l'esprit du préambule de la Constitution de 1946. Edward Snowden et Julian Assange seront récompensés et accueillis en France. Engager la formation d'une nouvelle alliance alter-mondialiste."
54,55,"Reconstruire une défense indépendante, nationale et populaire","L'Otan, construite par et pour les États-Unis pendant la guerre froide, n'a plus lieu d'être. Son ennemi soviétique a disparu. Cette organisation ne sert plus qu'à embrigader les pays européens derrière les États-Unis. Mais nous n'avons pas les mêmes principes ni les mêmes objectifs. La France peut et doit se défendre elle-même pour pouvoir agir librement. Pour cela, la défense doit retrouver un lien avec la Nation tout entière, rompu depuis la fin de la conscription.",Rédiger un nouveau Livre blanc et adopter une nouvelle loi de programmation militaire ayant pour objectif la restauration pleine et entière de l'indépendance militaire. Stopper les programmes de privatisation des industries d'armement et des missions de défense nationale et engager leur reconquête publique. Établir la règle de l'acquisition de matériel militaire français par l'armée (armement et fournitures). Ouvrir la possibilité d'effectuer son service citoyen obligatoire sous la forme d'un service militaire.
